target,dim,rep,variant,JS,pool_ESS,w_min,w_max
bimodal_gaussian,50,1,exact_single_10000,0.04342929826279447,,,
bimodal_gaussian,50,1,pool_uniform,0.043916762573322776,9908.732445937916,,
bimodal_gaussian,50,1,pool_resample_uniform,0.05607688751305831,,,
bimodal_gaussian,50,1,pool_memberweight_resample,0.05742961947171645,,0.13213809727512232,0.3195333620890954
bimodal_gaussian,50,1,pool_coverage_resample,0.05591898303541131,,,
bimodal_gaussian,50,1,pool_full_aggregation,0.05788928771165004,9853.0841733937,,
bimodal_gaussian,50,2,exact_single_10000,0.04363201381816501,,,
bimodal_gaussian,50,2,pool_uniform,0.04304529530754895,9854.26413150563,,
bimodal_gaussian,50,2,pool_resample_uniform,0.056099139353983814,,,
bimodal_gaussian,50,2,pool_memberweight_resample,0.05755216626253248,,0.10559560441657811,0.3060822183282984
bimodal_gaussian,50,2,pool_coverage_resample,0.056096672459481176,,,
bimodal_gaussian,50,2,pool_full_aggregation,0.058030231613628594,9850.125480425824,,
bimodal_gaussian,50,3,exact_single_10000,0.044173682272616685,,,
bimodal_gaussian,50,3,pool_uniform,0.04342959774441545,9837.405398780247,,
bimodal_gaussian,50,3,pool_resample_uniform,0.057669671450658884,,,
bimodal_gaussian,50,3,pool_memberweight_resample,0.05663719346942701,,0.09748595508861659,0.27582033553625085
bimodal_gaussian,50,3,pool_coverage_resample,0.05719729914700991,,,
bimodal_gaussian,50,3,pool_full_aggregation,0.05851902122829956,9778.113141454252,,
bimodal_gaussian,50,4,exact_single_10000,0.04272432744572658,,,
bimodal_gaussian,50,4,pool_uniform,0.04279460661086331,9829.2738895529,,
bimodal_gaussian,50,4,pool_resample_uniform,0.05618593005796917,,,
bimodal_gaussian,50,4,pool_memberweight_resample,0.057119653493737745,,0.12076023511749075,0.31267098498487766
bimodal_gaussian,50,4,pool_coverage_resample,0.05537902934632513,,,
bimodal_gaussian,50,4,pool_full_aggregation,0.05787778579634253,9851.809315784476,,
correlated_gaussian,20,0,exact_single_10000,0.04345939903723924,,,
correlated_gaussian,20,0,pool_uniform,0.044409333341552316,9778.449920465513,,
correlated_gaussian,20,0,pool_resample_uniform,0.056750711663947316,,,
correlated_gaussian,20,0,pool_memberweight_resample,0.059352118142280086,,0.11918028507811024,0.3456620699489927
correlated_gaussian,20,0,pool_coverage_resample,0.07922193267082864,,,
correlated_gaussian,20,0,pool_full_aggregation,0.08209518355921289,9911.491490128192,,
correlated_gaussian,20,1,exact_single_10000,0.0439254509407175,,,
correlated_gaussian,20,1,pool_uniform,0.0429632166713011,9812.302828825641,,
correlated_gaussian,20,1,pool_resample_uniform,0.05653578181050832,,,
correlated_gaussian,20,1,pool_memberweight_resample,0.05673177172371002,,0.11626224068281579,0.2931791661667952
correlated_gaussian,20,1,pool_coverage_resample,0.07558250512673878,,,
correlated_gaussian,20,1,pool_full_aggregation,0.07820717009983755,9851.501405103556,,
correlated_gaussian,20,2,exact_single_10000,0.04344893734772315,,,
correlated_gaussian,20,2,pool_uniform,0.04365880704018431,9940.114797749688,,
correlated_gaussian,20,2,pool_resample_uniform,0.05673561749237758,,,
correlated_gaussian,20,2,pool_memberweight_resample,0.057298971952505905,,0.11740357633442774,0.28957665543267
correlated_gaussian,20,2,pool_coverage_resample,0.07839974597591357,,,
correlated_gaussian,20,2,pool_full_aggregation,0.08069008597126723,9875.62671400466,,
correlated_gaussian,20,3,exact_single_10000,0.04331727809597068,,,
correlated_gaussian,20,3,pool_uniform,0.04472212693771893,9808.45488131246,,
correlated_gaussian,20,3,pool_resample_uniform,0.05823737868393806,,,
correlated_gaussian,20,3,pool_memberweight_resample,0.059075659117824295,,0.11145950144619349,0.2697062217535783
correlated_gaussian,20,3,pool_coverage_resample,0.07840417244794166,,,
correlated_gaussian,20,3,pool_full_aggregation,0.07986945766548437,9919.313503957743,,
correlated_gaussian,20,4,exact_single_10000,0.044002621790288174,,,
correlated_gaussian,20,4,pool_uniform,0.043349342990929844,9893.79737417288,,
correlated_gaussian,20,4,pool_resample_uniform,0.05550723582282006,,,
correlated_gaussian,20,4,pool_memberweight_resample,0.05726159025007653,,0.10899874071222515,0.27471152578228747
correlated_gaussian,20,4,pool_coverage_resample,0.07961857631198946,,,
correlated_gaussian,20,4,pool_full_aggregation,0.08116163092915897,9830.108505278864,,
correlated_gaussian,50,0,exact_single_10000,0.043010903218018336,,,
correlated_gaussian,50,0,pool_uniform,0.043272537811667885,9845.668878083798,,
