kind,target,dim,N,nbins,rep,JS
all11,rosenbrock,20,10000,100,2,0.043915002586186566
all11,rosenbrock,20,10000,100,3,0.0431817506951432
all11,rosenbrock,20,10000,100,4,0.043344321211347875
all11,rosenbrock,50,2000,100,0,0.08634274496885233
all11,rosenbrock,50,2000,100,1,0.08450887718299901
all11,rosenbrock,50,2000,100,2,0.08586263777184648
all11,rosenbrock,50,2000,100,3,0.08572272363924478
all11,rosenbrock,50,2000,100,4,0.08531359051302839
all11,rosenbrock,50,10000,100,0,0.04365568846666358
all11,rosenbrock,50,10000,100,1,0.043078299212089464
all11,rosenbrock,50,10000,100,2,0.04399280219367427
all11,rosenbrock,50,10000,100,3,0.04371775838921128
all11,rosenbrock,50,10000,100,4,0.04336812315582421
bins,correlated_gaussian,20,1000,25,0,0.05736808141080886
bins,correlated_gaussian,20,1000,25,1,0.05949839642574023
bins,correlated_gaussian,20,1000,25,2,0.05800526705614177
bins,correlated_gaussian,20,1000,25,3,0.05561459680163329
bins,correlated_gaussian,20,1000,25,4,0.06136369582102271
bins,correlated_gaussian,20,2000,25,0,0.03887903752966051
bins,correlated_gaussian,20,2000,25,1,0.04136581610594107
bins,correlated_gaussian,20,2000,25,2,0.04091745231126267
bins,correlated_gaussian,20,2000,25,3,0.04216353573419916
bins,correlated_gaussian,20,2000,25,4,0.041159097252014595
bins,correlated_gaussian,20,5000,25,0,0.02876661816422114
bins,correlated_gaussian,20,5000,25,1,0.02921225444257424
bins,correlated_gaussian,20,5000,25,2,0.02670154493599114
bins,correlated_gaussian,20,5000,25,3,0.025527472748068613
bins,correlated_gaussian,20,5000,25,4,0.02660254954848205
bins,correlated_gaussian,20,10000,25,0,0.022347334640817087
bins,correlated_gaussian,20,10000,25,1,0.021103666111678
bins,correlated_gaussian,20,10000,25,2,0.021740349711281352
bins,correlated_gaussian,20,10000,25,3,0.020963815789407814
bins,correlated_gaussian,20,10000,25,4,0.02152493464646119
bins,correlated_gaussian,20,20000,25,0,0.017247333489576678
bins,correlated_gaussian,20,20000,25,1,0.01730857805850074
bins,correlated_gaussian,20,20000,25,2,0.016911969557400798
bins,correlated_gaussian,20,20000,25,3,0.0177671996341176
bins,correlated_gaussian,20,20000,25,4,0.01699780843925549
bins,correlated_gaussian,20,1000,50,0,0.08286088573108798
bins,correlated_gaussian,20,1000,50,1,0.08295771462998401
bins,correlated_gaussian,20,1000,50,2,0.0819612692233898
bins,correlated_gaussian,20,1000,50,3,0.08704108971357324
bins,correlated_gaussian,20,1000,50,4,0.08323651807121438
bins,correlated_gaussian,20,2000,50,0,0.059291431757994825
bins,correlated_gaussian,20,2000,50,1,0.05691572517942214
bins,correlated_gaussian,20,2000,50,2,0.05626155674191955
bins,correlated_gaussian,20,2000,50,3,0.05840816602999305
bins,correlated_gaussian,20,2000,50,4,0.05945768355792597
bins,correlated_gaussian,20,5000,50,0,0.03906473074031098
bins,correlated_gaussian,20,5000,50,1,0.040352104806367584
bins,correlated_gaussian,20,5000,50,2,0.039243394525364704
bins,correlated_gaussian,20,5000,50,3,0.03784455016504838
bins,correlated_gaussian,20,5000,50,4,0.0385541776040563
bins,correlated_gaussian,20,10000,50,0,0.03135753307876704
bins,correlated_gaussian,20,10000,50,1,0.030911300091674483
bins,correlated_gaussian,20,10000,50,2,0.029983794629682387
bins,correlated_gaussian,20,10000,50,3,0.03148568368669443
bins,correlated_gaussian,20,10000,50,4,0.03097555249092181
bins,correlated_gaussian,20,20000,50,0,0.025149125030974974
bins,correlated_gaussian,20,20000,50,1,0.024307161863517925
bins,correlated_gaussian,20,20000,50,2,0.024471483048982653
bins,correlated_gaussian,20,20000,50,3,0.02470198739581219
bins,correlated_gaussian,20,20000,50,4,0.02466312501911545
bins,correlated_gaussian,20,1000,100,0,0.11687559082656433
bins,correlated_gaussian,20,1000,100,1,0.11577255570072457
bins,correlated_gaussian,20,1000,100,2,0.12128684788507633
bins,correlated_gaussian,20,1000,100,3,0.1147573874580595
bins,correlated_gaussian,20,1000,100,4,0.11696400573078325
bins,correlated_gaussian,20,2000,100,0,0.08778691182222306
bins,correlated_gaussian,20,2000,100,1,0.08599776611653065
bins,correlated_gaussian,20,2000,100,2,0.0860143229815408
bins,correlated_gaussian,20,2000,100,3,0.08250549933938356
bins,correlated_gaussian,20,2000,100,4,0.08595096002478311
bins,correlated_gaussian,20,5000,100,0,0.05720906016922457
bins,correlated_gaussian,20,5000,100,1,0.056204742901548976
bins,correlated_gaussian,20,5000,100,2,0.05742931302519947
bins,correlated_gaussian,20,5000,100,3,0.05720822096000087
bins,correlated_gaussian,20,5000,100,4,0.055723898240617395
bins,correlated_gaussian,20,10000,100,0,0.04275323451016756
bins,correlated_gaussian,20,10000,100,1,0.044200625667577806
bins,correlated_gaussian,20,10000,100,2,0.04452778900349171
bins,correlated_gaussian,20,10000,100,3,0.044012427551591335
bins,correlated_gaussian,20,10000,100,4,0.04361990092334554
bins,correlated_gaussian,20,20000,100,0,0.03543516704422987
bins,correlated_gaussian,20,20000,100,1,0.03641089244474292
bins,correlated_gaussian,20,20000,100,2,0.03528870079737988
bins,correlated_gaussian,20,20000,100,3,0.0350836775089788
bins,correlated_gaussian,20,20000,100,4,0.03597345183024543
bins,correlated_gaussian,20,1000,200,0,0.1656081156472788
bins,correlated_gaussian,20,1000,200,1,0.16597967477261857
bins,correlated_gaussian,20,1000,200,2,0.1655257313737416
bins,correlated_gaussian,20,1000,200,3,0.16649308029010595
bins,correlated_gaussian,20,1000,200,4,0.16779556386074462
bins,correlated_gaussian,20,2000,200,0,0.12341862303155307
bins,correlated_gaussian,20,2000,200,1,0.12182108787072317
bins,correlated_gaussian,20,2000,200,2,0.12270623512499641
bins,correlated_gaussian,20,2000,200,3,0.1217814137214239
bins,correlated_gaussian,20,2000,200,4,0.12084278605869632
bins,correlated_gaussian,20,5000,200,0,0.08052098433510844
